rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/clip_range
237.6,250,163,-237.16,40960,40,-1.3020985879004001,0.0005,817.7933767318725,755.3145141601562,390,-0.026570131223706994,0.178125,0.1373158097267151,0.031359095,0.3
233.96,250,167,-215.72,41984,41,-1.316695784404874,0.0005,775.6918340206146,383.6972961425781,400,-0.007679846762039233,0.0296875,0.12826591730117798,0.019180752,0.3
237.21,250,171,-219.32,43008,42,-1.3290732085704804,0.0005,886.484549665451,352.41302490234375,410,-0.020443146422621794,0.09560546875,0.24708139896392822,0.030415898,0.3
229.69,250,175,-178.24,44032,43,-1.3013398479670286,0.0005,426.8294765949249,222.27049255371094,420,-0.0234385973890312,0.15849609375,0.5022225975990295,0.025489213,0.3
224.72,250,179,-168.77,45056,44,-1.3044943384826184,0.0005,609.9174254417419,152.04611206054688,430,-0.011818355042487383,0.05810546875,0.4857102036476135,0.023153447,0.3
220.96,251,183,-172.18,46080,45,-1.3034269474446774,0.0005,552.2109080553055,163.42913818359375,440,-0.013850765545794275,0.0779296875,0.45699214935302734,0.020806704,0.3
220.08,251,187,-173.8,47104,46,-1.3053983993828298,0.0005,475.3206679582596,256.4122314453125,450,-0.021051053823612165,0.13984375,0.4213961958885193,0.021588013,0.3
215.33,251,191,-164.03,48128,47,-1.3231464054435491,0.0005,737.9190569400787,212.49281311035156,460,-0.013877575554943178,0.1103515625,0.3318275809288025,0.02610851,0.3
212.83,251,195,-149.36,49152,48,-1.2973070591688156,0.0005,455.14526839256285,275.5132141113281,470,-0.016976262707612478,0.127734375,0.4607454538345337,0.02938331,0.3
218.93,247,202,-153.18,50176,49,-1.2930445838719606,0.0005,361.30987825393674,111.65813446044922,480,-0.013157584764121566,0.051171875,0.5143154561519623,0.0174523,0.3
207.57,244,209,-122.75,51200,50,-1.277427301555872,0.0005,360.22984371185305,163.326904296875,490,-0.010891287780395942,0.041015625,0.5457114577293396,0.018015973,0.3
198.72,244,214,-96.61,52224,51,-1.288869683071971,0.0005,381.5234586238861,437.84600830078125,500,-0.016112900983716826,0.08955078125,0.25483083724975586,0.025607588,0.3
194.75,243,218,-84.51,53248,52,-1.283858983963728,0.0005,844.8798393249511,718.2952880859375,510,-0.010957310392404907,0.05498046875,0.38893163204193115,0.023857031,0.3
194.85,243,223,-76.9,54272,53,-1.2947519451379776,0.0005,336.0824721813202,121.03016662597656,520,-0.020229283229855354,0.1263671875,0.2041725516319275,0.02594985,0.3
192.38,242,227,-68.99,55296,54,-1.2872496366500854,0.0005,326.43871853351595,110.82383728027344,530,-0.01621375906688627,0.0947265625,0.25517135858535767,0.025998726,0.3
192.58,242,231,-72.89,56320,55,-1.2780304618179799,0.0005,336.2801883935928,191.06483459472656,540,-0.0064359119453001766,0.04345703125,0.43363428115844727,0.020341389,0.3
194.97,241,237,-68.14,57344,56,-1.2605624463409186,0.0005,339.14344894886017,160.9344482421875,550,-0.013219864648999647,0.0685546875,0.47577399015426636,0.017880077,0.3
199.08,242,241,-72.41,58368,57,-1.2689810886979103,0.0005,234.9601749777794,116.78512573242188,560,-0.0077899463212816045,0.0443359375,0.6045371890068054,0.020164676,0.3
178.04,242,244,-41.31,59392,58,-1.284512823075056,0.0005,536.1365177869797,234.8137664794922,570,-0.020725110164494253,0.16025390625,0.4546446204185486,0.026636673,0.3
175.35,243,248,-32.29,60416,59,-1.2693466823548079,0.0005,475.8572271347046,141.04559326171875,580,-0.023994616360869258,0.16552734375,0.38567042350769043,0.0422255,0.3
176.5,243,252,-45.47,61440,60,-1.2860398158431052,0.0005,239.92339663505555,108.82366180419922,590,-0.014321168549940921,0.07568359375,0.31660938262939453,0.024345752,0.3
168.34,243,256,-20.25,62464,61,-1.2738562505692244,0.0005,227.48868436813353,161.83566284179688,600,-0.014461678390216549,0.08828125,0.43643563985824585,0.017737659,0.3
168.63,243,260,-9.96,63488,62,-1.2675922717899084,0.0005,225.81188938617706,113.22823333740234,610,-0.008952524571213871,0.0736328125,0.6649854183197021,0.016345736,0.3
170.73,243,264,-6.85,64512,63,-1.2662292771041392,0.0005,253.11631138324736,167.5253143310547,620,-0.01494699606555514,0.083203125,0.6320557296276093,0.018510906,0.3
176.59,243,268,-14.55,65536,64,-1.255741435289383,0.0005,543.3992146730423,75.33699035644531,630,-0.006036567683622707,0.0314453125,0.33250993490219116,0.010125309,0.3
184.09,242,274,-24.88,66560,65,-1.2348816633224486,0.0005,337.2260949611664,146.4613800048828,640,-0.010821551561821251,0.03623046875,0.5828260183334351,0.015013272,0.3
186.48,242,278,-18.49,67584,66,-1.2456350333988666,0.0005,261.1010456085205,80.52815246582031,650,-0.014649790041949018,0.07470703125,0.6529180705547333,0.019166151,0.3
189.8,242,282,-13.27,68608,67,-1.2117289371788502,0.0005,935.2763559818268,421.0536804199219,660,-0.017047710026963613,0.1673828125,-0.0303189754486084,0.025237136,0.3
192.07,242,287,-5.46,69632,68,-1.2269153259694576,0.0005,289.17133221626284,146.7364501953125,670,-0.008952838438563048,0.05263671875,0.6039361655712128,0.013473472,0.3
195.32,241,292,-2.63,70656,69,-1.2416297227144242,0.0005,247.25096294879913,107.3852767944336,680,-0.018960703309858218,0.146875,0.5253487527370453,0.02508704,0.3
197.54,240,297,0.02,71680,70,-1.227263393625617,0.0005,548.5181073665619,355.92193603515625,690,-0.011168742574227508,0.07001953125,0.45634549856185913,0.021970361,0.3
192.71,239,303,9.21,72704,71,-1.2343881417065858,0.0005,934.8222324848175,339.0445251464844,700,-0.01579605618608184,0.09033203125,0.18851333856582642,0.018397022,0.3
195.43,239,308,-1.73,73728,72,-1.240710973739624,0.0005,662.3278856515884,273.7829284667969,710,-0.015474827770958655,0.08701171875,0.14781087636947632,0.020408,0.3
195.98,239,312,4.21,74752,73,-1.254538957029581,0.0005,333.1448254466057,105.34833526611328,720,-0.02149599089680123,0.127734375,0.2587483525276184,0.028344668,0.3
190.07,238,317,10.11,75776,74,-1.248017356544733,0.0005,447.4351664304733,160.25852966308594,730,-0.009491263404197526,0.074609375,-0.018665313720703125,0.017420601,0.3
185.75,238,322,14.25,76800,75,-1.2158087857067585,0.0005,302.0053580760956,145.870361328125,740,-0.012132603248755914,0.08994140625,0.19873046875,0.018773,0.3
189.36,238,326,16.91,77824,76,-1.2046402290463447,0.0005,519.4064429283142,101.0634765625,750,-0.016408639169094387,0.08056640625,0.17512226104736328,0.021987833,0.3
197.19,237,332,15.78,78848,77,-1.1993020582944154,0.0005,593.0541347026825,366.1693115234375,760,-0.014322923749568872,0.07509765625,0.12544357776641846,0.023934409,0.3
195.23,237,336,16.49,79872,78,-1.1869435910135508,0.0005,287.6594233036041,139.28121948242188,770,-0.00834889702819055,0.0591796875,-0.1378098726272583,0.01834569,0.3
198.98,237,340,10.7,80896,79,-1.1790157482028008,0.0005,389.44040141105654,162.0648651123047,780,-0.013720122895028908,0.098828125,0.31714409589767456,0.021431172,0.3
200.86,238,343,22.72,81920,80,-1.162535847723484,0.0005,366.5009526014328,89.24409484863281,790,-0.014654581680952105,0.1048828125,0.46977466344833374,0.017286059,0.3
203.87,238,347,18.35,82944,81,-1.1784085724502802,0.0005,526.9450932741165,242.41943359375,800,-0.011502913065487518,0.08232421875,0.23676198720932007,0.026725631,0.3
210.78,238,351,19.38,83968,82,-1.1997931517660618,0.0005,226.0941947221756,96.93256378173828,810,-0.013874198487610557,0.1009765625,0.5099103152751923,0.018810323,0.3
206.15,238,355,31.01,84992,83,-1.234631583467126,0.0005,427.92853742837906,319.0784912109375,820,-0.00947893272532383,0.0953125,0.44930320978164673,0.023189364,0.3
206.75,239,359,35.29,86016,84,-1.232097378745675,0.0005,490.5404363155365,158.41871643066406,830,-0.013080765695485752,0.11259765625,0.5132104158401489,0.018029805,0.3
208.97,239,363,45.55,87040,85,-1.257547052577138,0.0005,347.6337476968765,163.1665496826172,840,-0.01540720533230342,0.113671875,0.5665434002876282,0.013217084,0.3
206.68,239,367,49.25,88064,86,-1.2396038226783275,0.0005,271.88282495737076,200.7577362060547,850,-0.01366708108689636,0.079296875,0.6387554407119751,0.016155755,0.3
208.01,239,372,52.06,89088,87,-1.2223183397203683,0.0005,181.6974935889244,71.37389373779297,860,-0.01958489717799239,0.09716796875,0.5197423100471497,0.020909023,0.3
206.16,239,376,49.49,90112,88,-1.222078474611044,0.0005,269.9750461101532,195.0625,870,-0.007126122311456129,0.0619140625,0.5834894478321075,0.025005408,0.3
211.81,238,382,48.55,91136,89,-1.2278893940150737,0.0005,255.54062319993972,123.65535736083984,880,-0.016275211350875906,0.11494140625,0.5962602496147156,0.023421232,0.3
219.5,238,386,39.35,92160,90,-1.2272322282195092,0.0005,187.61369602680207,123.27052307128906,890,-0.0028367907092615497,0.10205078125,0.6572012305259705,0.048705332,0.3
226.42,238,391,34.67,93184,91,-1.2153071362525225,0.0005,294.5697821736336,137.33802795410156,900,-0.01717899571522139,0.133984375,0.6349223852157593,0.020716026,0.3
221.36,238,394,35.25,94208,92,-1.2239067900925875,0.0005,274.9188243985176,66.1651382446289,910,-0.01656897446810035,0.07763671875,0.5848909318447113,0.022137586,0.3
224.68,239,398,32.49,95232,93,-1.1856971245259047,0.0005,318.6259920358658,134.09271240234375,920,-0.01829150938629027,0.1080078125,0.44971799850463867,0.020534422,0.3
232.81,239,402,38.08,96256,94,-1.1812698971480131,0.0005,293.30377130508424,134.18544006347656,930,-0.015624963748268782,0.13515625,0.5315028131008148,0.028386567,0.3
226.68,238,407,45.5,97280,95,-1.1944141406565905,0.0005,509.84168940782547,483.076904296875,940,-0.009960658100317233,0.12197265625,0.2970300316810608,0.018451983,0.3
234.64,238,411,48.7,98304,96,-1.1559298660606145,0.0005,217.41215535998344,23.571088790893555,950,-0.02661763487994904,0.164453125,0.7069312334060669,0.021433726,0.3
239.29,239,415,52.55,99328,97,-1.196404268220067,0.0005,405.0559026241302,72.3268051147461,960,-0.01552711111435201,0.1033203125,0.5324767827987671,0.017108627,0.3
236.05,239,419,59.4,100352,98,-1.1632254105061293,0.0005,236.92514513731004,73.75143432617188,970,-0.017903036245843395,0.1201171875,0.44767874479293823,0.018050041,0.3
